Map,Street,City,LatLong,Phone
"<img class=""store-details__map-image"" src=""https://maps.googleapis.com/maps/api/staticmap?center=Dollar+General%2C409+Cornelia+Plaza+Dr%2CCornelia+GA+30531-2917&amp;zoom=15&amp;size=730x600&amp;markers=icon%3Ahttps%3A%2F%2Fwww.dollargeneral.com%2Fetc.clientlibs%2Fdollargeneral%2Fclientlibs%2Fclientlib-site%2Fresources%2Fimages%2Fstatic-map-pin.png%7C34.515739%2C-83.530109&amp;key=AIzaSyDi0nb6nKeHaDJWFtAvbAIPKBrUuAc_mTY&amp;signature=kSPzhn5y976YoZpjBMXK5bDv0Dg="" alt=""Google map showing the dropped pin on Dollar General,409 Cornelia Plaza Dr,Cornelia GA 30531-2917"">",409 Cornelia Plaza Dr,"Cornelia, GA 30531-2917","<div class=""store-details__main-travel"" data-latitude=""34.515739"" data-longitude=""-83.530109"">
        <div class=""store-details__main-distance""></div>
        <a class=""store-details__main-directions"" href=""javascript:void(0);"" target=""_blank""></a>
    </div>",(470) 354-3255
"<img class=""store-details__map-image"" src=""https://maps.googleapis.com/maps/api/staticmap?center=Dollar+General%2C224+Merchants+Way%2CCornelia+GA+30531-4703&amp;zoom=15&amp;size=730x600&amp;markers=icon%3Ahttps%3A%2F%2Fwww.dollargeneral.com%2Fetc.clientlibs%2Fdollargeneral%2Fclientlibs%2Fclientlib-site%2Fresources%2Fimages%2Fstatic-map-pin.png%7C34.544776%2C-83.547823&amp;key=AIzaSyDi0nb6nKeHaDJWFtAvbAIPKBrUuAc_mTY&amp;signature=MyfBRIUfHh_ECX-VFEfsiZZsHOc="" alt=""Google map showing the dropped pin on Dollar General,224 Merchants Way,Cornelia GA 30531-4703"">",224 Merchants Way,"Cornelia, GA 30531-4703","<div class=""store-details__main-travel"" data-latitude=""34.544776"" data-longitude=""-83.547823"">
        <div class=""store-details__main-distance""></div>
        <a class=""store-details__main-directions"" href=""javascript:void(0);"" target=""_blank""></a>
    </div>",(470) 571-0316
"<img class=""store-details__map-image"" src=""https://maps.googleapis.com/maps/api/staticmap?center=Dollar+General%2C15797+Highway+36%2CCovington+GA+30014-6021&amp;zoom=15&amp;size=730x600&amp;markers=icon%3Ahttps%3A%2F%2Fwww.dollargeneral.com%2Fetc.clientlibs%2Fdollargeneral%2Fclientlibs%2Fclientlib-site%2Fresources%2Fimages%2Fstatic-map-pin.png%7C33.424112%2C-83.849414&amp;key=AIzaSyDi0nb6nKeHaDJWFtAvbAIPKBrUuAc_mTY&amp;signature=u1pBhpOO7DWprJzgUlvQ4NvNJdM="" alt=""Google map showing the dropped pin on Dollar General,15797 Highway 36,Covington GA 30014-6021"">",15797 Highway 36,"Covington, GA 30014-6021","<div class=""store-details__main-travel"" data-latitude=""33.424112"" data-longitude=""-83.849414"" style=""display: none;"">
        <div class=""store-details__main-distance""></div>
        <a class=""store-details__main-directions"" href=""javascript:void(0);"" target=""_blank""></a>
    </div>",(470) 327-1910
"<img class=""store-details__map-image"" src=""https://maps.googleapis.com/maps/api/staticmap?center=Dollar+General%2C13+Grassy+St%2CCrandall+GA+30711&amp;zoom=15&amp;size=730x600&amp;markers=icon%3Ahttps%3A%2F%2Fwww.dollargeneral.com%2Fetc.clientlibs%2Fdollargeneral%2Fclientlibs%2Fclientlib-site%2Fresources%2Fimages%2Fstatic-map-pin.png%7C34.86805%2C-84.75281&amp;key=AIzaSyDi0nb6nKeHaDJWFtAvbAIPKBrUuAc_mTY&amp;signature=nGaPA4KDa8t_vqCXD1_3ipwbn3w="" alt=""Google map showing the dropped pin on Dollar General,13 Grassy St,Crandall GA 30711"">",13 Grassy St,"Crandall, GA 30711","<div class=""store-details__main-travel"" data-latitude=""34.86805"" data-longitude=""-84.75281"">
        <div class=""store-details__main-distance""></div>
        <a class=""store-details__main-directions"" href=""javascript:void(0);"" target=""_blank""></a>
    </div>",(762) 220-3864
"<img class=""store-details__map-image"" src=""https://maps.googleapis.com/maps/api/staticmap?center=Dollar+General%2C11+Oglethorpe+Dr%2CCrawford+GA+30630-2526&amp;zoom=15&amp;size=730x600&amp;markers=icon%3Ahttps%3A%2F%2Fwww.dollargeneral.com%2Fetc.clientlibs%2Fdollargeneral%2Fclientlibs%2Fclientlib-site%2Fresources%2Fimages%2Fstatic-map-pin.png%7C33.886264%2C-83.127508&amp;key=AIzaSyDi0nb6nKeHaDJWFtAvbAIPKBrUuAc_mTY&amp;signature=1OsBnCZu4jSIQhHoPTeDqBKfcUU="" alt=""Google map showing the dropped pin on Dollar General,11 Oglethorpe Dr,Crawford GA 30630-2526"">",11 Oglethorpe Dr,"Crawford, GA 30630-2526","<div class=""store-details__main-travel"" data-latitude=""33.886264"" data-longitude=""-83.127508"">
        <div class=""store-details__main-distance""></div>
        <a class=""store-details__main-directions"" href=""javascript:void(0);"" target=""_blank""></a>
    </div>",(762) 499-6042
"<img class=""store-details__map-image"" src=""https://maps.googleapis.com/maps/api/staticmap?center=Dollar+General%2C494+Broad+Street+Nw%2CCrawfordville+GA+30631&amp;zoom=15&amp;size=730x600&amp;markers=icon%3Ahttps%3A%2F%2Fwww.dollargeneral.com%2Fetc.clientlibs%2Fdollargeneral%2Fclientlibs%2Fclientlib-site%2Fresources%2Fimages%2Fstatic-map-pin.png%7C33.557%2C-82.9085&amp;key=AIzaSyDi0nb6nKeHaDJWFtAvbAIPKBrUuAc_mTY&amp;signature=FGQKTkxsQEbS5JFQw7DeRWRv-1U="" alt=""Google map showing the dropped pin on Dollar General,494 Broad Street Nw,Crawfordville GA 30631"">",494 Broad Street Nw,"Crawfordville, GA 30631","<div class=""store-details__main-travel"" data-latitude=""33.557"" data-longitude=""-82.9085"">
        <div class=""store-details__main-distance""></div>
        <a class=""store-details__main-directions"" href=""javascript:void(0);"" target=""_blank""></a>
    </div>",(762) 585-6137
"<img class=""store-details__map-image"" src=""https://maps.googleapis.com/maps/api/staticmap?center=Dollar+General%2C4015+Browns+Bridge+Rd%2CCumming+GA+30041-3901&amp;zoom=15&amp;size=730x600&amp;markers=icon%3Ahttps%3A%2F%2Fwww.dollargeneral.com%2Fetc.clientlibs%2Fdollargeneral%2Fclientlibs%2Fclientlib-site%2Fresources%2Fimages%2Fstatic-map-pin.png%7C34.262208%2C-84.081265&amp;key=AIzaSyDi0nb6nKeHaDJWFtAvbAIPKBrUuAc_mTY&amp;signature=KDBQXFsqpQyEpoBulgQSBOBqiI0="" alt=""Google map showing the dropped pin on Dollar General,4015 Browns Bridge Rd,Cumming GA 30041-3901"">",4015 Browns Bridge Rd,"Cumming, GA 30041-3901","<div class=""store-details__main-travel"" data-latitude=""34.262208"" data-longitude=""-84.081265"">
        <div class=""store-details__main-distance""></div>
        <a class=""store-details__main-directions"" href=""javascript:void(0);"" target=""_blank""></a>
    </div>",(470) 239-1948
"<img class=""store-details__map-image"" src=""https://maps.googleapis.com/maps/api/staticmap?center=Dollar+General%2C2420+Holtzclaw+Road%2CCumming+GA+30041-4586&amp;zoom=15&amp;size=730x600&amp;markers=icon%3Ahttps%3A%2F%2Fwww.dollargeneral.com%2Fetc.clientlibs%2Fdollargeneral%2Fclientlibs%2Fclientlib-site%2Fresources%2Fimages%2Fstatic-map-pin.png%7C34.232509%2C-84.084526&amp;key=AIzaSyDi0nb6nKeHaDJWFtAvbAIPKBrUuAc_mTY&amp;signature=GHb-dU3hsFg3PbpDqlZFOgc5uq4="" alt=""Google map showing the dropped pin on Dollar General,2420 Holtzclaw Road,Cumming GA 30041-4586"">",2420 Holtzclaw Road,"Cumming, GA 30041-4586","<div class=""store-details__main-travel"" data-latitude=""34.232509"" data-longitude=""-84.084526"">
        <div class=""store-details__main-distance""></div>
        <a class=""store-details__main-directions"" href=""javascript:void(0);"" target=""_blank""></a>
    </div>",(470) 839-8810
"<img class=""store-details__map-image"" src=""https://maps.googleapis.com/maps/api/staticmap?center=Dollar+General%2C121+N+Corners+Pkwy%2CCumming+GA+30040-2078&amp;zoom=15&amp;size=730x600&amp;markers=icon%3Ahttps%3A%2F%2Fwww.dollargeneral.com%2Fetc.clientlibs%2Fdollargeneral%2Fclientlibs%2Fclientlib-site%2Fresources%2Fimages%2Fstatic-map-pin.png%7C34.2155%2C-84.1507&amp;key=AIzaSyDi0nb6nKeHaDJWFtAvbAIPKBrUuAc_mTY&amp;signature=kQFETBmlq_Y59pwuA1nH6VDDk0M="" alt=""Google map showing the dropped pin on Dollar General,121 N Corners Pkwy,Cumming GA 30040-2078"">",121 N Corners Pkwy,"Cumming, GA 30040-2078","<div class=""store-details__main-travel"" data-latitude=""34.2155"" data-longitude=""-84.1507"" style=""display: none;"">
        <div class=""store-details__main-distance""></div>
        <a class=""store-details__main-directions"" href=""javascript:void(0);"" target=""_blank""></a>
    </div>",(470) 695-0676
"<img class=""store-details__map-image"" src=""https://maps.googleapis.com/maps/api/staticmap?center=Dollar+General%2C5350+Jot+Em+Down+Rd%2CCumming+GA+30041&amp;zoom=15&amp;size=730x600&amp;markers=icon%3Ahttps%3A%2F%2Fwww.dollargeneral.com%2Fetc.clientlibs%2Fdollargeneral%2Fclientlibs%2Fclientlib-site%2Fresources%2Fimages%2Fstatic-map-pin.png%7C34.32376%2C-84.051&amp;key=AIzaSyDi0nb6nKeHaDJWFtAvbAIPKBrUuAc_mTY&amp;signature=fmB1EeMF1dB0IpZFzlfqBZpCZ9k="" alt=""Google map showing the dropped pin on Dollar General,5350 Jot Em Down Rd,Cumming GA 30041"">",5350 Jot Em Down Rd,"Cumming, GA 30041","<div class=""store-details__main-travel"" data-latitude=""34.32376"" data-longitude=""-84.051"">
        <div class=""store-details__main-distance""></div>
        <a class=""store-details__main-directions"" href=""javascript:void(0);"" target=""_blank""></a>
    </div>",(470) 239-5303
"<img class=""store-details__map-image"" src=""https://maps.googleapis.com/maps/api/staticmap?center=Dollar+General%2C6010+Bethelview+Rd%2CCumming+GA+30040-6316&amp;zoom=15&amp;size=730x600&amp;markers=icon%3Ahttps%3A%2F%2Fwww.dollargeneral.com%2Fetc.clientlibs%2Fdollargeneral%2Fclientlibs%2Fclientlib-site%2Fresources%2Fimages%2Fstatic-map-pin.png%7C34.1635%2C-84.1759&amp;key=AIzaSyDi0nb6nKeHaDJWFtAvbAIPKBrUuAc_mTY&amp;signature=YY_QQt5AcPrlJD-Nnx6G29CeF7k="" alt=""Google map showing the dropped pin on Dollar General,6010 Bethelview Rd,Cumming GA 30040-6316"">",6010 Bethelview Rd,"Cumming, GA 30040-6316","<div class=""store-details__main-travel"" data-latitude=""34.1635"" data-longitude=""-84.1759"">
        <div class=""store-details__main-distance""></div>
        <a class=""store-details__main-directions"" href=""javascript:void(0);"" target=""_blank""></a>
    </div>",(470) 239-1762
"<img class=""store-details__map-image"" src=""https://maps.googleapis.com/maps/api/staticmap?center=Dollar+General%2C175+Hwy+520%2CCusseta+GA+31805-0147&amp;zoom=15&amp;size=730x600&amp;markers=icon%3Ahttps%3A%2F%2Fwww.dollargeneral.com%2Fetc.clientlibs%2Fdollargeneral%2Fclientlibs%2Fclientlib-site%2Fresources%2Fimages%2Fstatic-map-pin.png%7C32.302512%2C-84.78407&amp;key=AIzaSyDi0nb6nKeHaDJWFtAvbAIPKBrUuAc_mTY&amp;signature=fmOE2_0g5Wki3f7d-_vhQoeqdj0="" alt=""Google map showing the dropped pin on Dollar General,175 Hwy 520,Cusseta GA 31805-0147"">",175 Hwy 520,"Cusseta, GA 31805-0147","<div class=""store-details__main-travel"" data-latitude=""32.302512"" data-longitude=""-84.78407"">
        <div class=""store-details__main-distance""></div>
        <a class=""store-details__main-directions"" href=""javascript:void(0);"" target=""_blank""></a>
    </div>",(706) 989-5465
"<img class=""store-details__map-image"" src=""https://maps.googleapis.com/maps/api/staticmap?center=Dollar+General%2C722+Blakely+St%2CCuthbert+GA+39840-5327&amp;zoom=15&amp;size=730x600&amp;markers=icon%3Ahttps%3A%2F%2Fwww.dollargeneral.com%2Fetc.clientlibs%2Fdollargeneral%2Fclientlibs%2Fclientlib-site%2Fresources%2Fimages%2Fstatic-map-pin.png%7C31.767552%2C-84.789241&amp;key=AIzaSyDi0nb6nKeHaDJWFtAvbAIPKBrUuAc_mTY&amp;signature=spvvZqzWL6Vu43quuSYVuBFZf3g="" alt=""Google map showing the dropped pin on Dollar General,722 Blakely St,Cuthbert GA 39840-5327"">",722 Blakely St,"Cuthbert, GA 39840-5327","<div class=""store-details__main-travel"" data-latitude=""31.767552"" data-longitude=""-84.789241"">
        <div class=""store-details__main-distance""></div>
        <a class=""store-details__main-directions"" href=""javascript:void(0);"" target=""_blank""></a>
    </div>",(478) 273-3165
"<img class=""store-details__map-image"" src=""https://maps.googleapis.com/maps/api/staticmap?center=Dollar+General%2C1210+Winder+Highway%2CDacula+GA+30019-2228&amp;zoom=15&amp;size=730x600&amp;markers=icon%3Ahttps%3A%2F%2Fwww.dollargeneral.com%2Fetc.clientlibs%2Fdollargeneral%2Fclientlibs%2Fclientlib-site%2Fresources%2Fimages%2Fstatic-map-pin.png%7C33.977714%2C-83.9442&amp;key=AIzaSyDi0nb6nKeHaDJWFtAvbAIPKBrUuAc_mTY&amp;signature=8fUaX3TI6DGmnwODl694lgMcYVU="" alt=""Google map showing the dropped pin on Dollar General,1210 Winder Highway,Dacula GA 30019-2228"">",1210 Winder Highway,"Dacula, GA 30019-2228","<div class=""store-details__main-travel"" data-latitude=""33.977714"" data-longitude=""-83.9442"">
        <div class=""store-details__main-distance""></div>
        <a class=""store-details__main-directions"" href=""javascript:void(0);"" target=""_blank""></a>
    </div>",(470) 289-6612
"<img class=""store-details__map-image"" src=""https://maps.googleapis.com/maps/api/staticmap?center=Dollar+General%2C1955+Harbins+Rd%2CDacula+GA+30019&amp;zoom=15&amp;size=730x600&amp;markers=icon%3Ahttps%3A%2F%2Fwww.dollargeneral.com%2Fetc.clientlibs%2Fdollargeneral%2Fclientlibs%2Fclientlib-site%2Fresources%2Fimages%2Fstatic-map-pin.png%7C33.947194%2C-83.855023&amp;key=AIzaSyDi0nb6nKeHaDJWFtAvbAIPKBrUuAc_mTY&amp;signature=73VDbQNIerZH3Vto-6e1y0mlxSA="" alt=""Google map showing the dropped pin on Dollar General,1955 Harbins Rd,Dacula GA 30019"">",1955 Harbins Rd,"Dacula, GA 30019","<div class=""store-details__main-travel"" data-latitude=""33.947194"" data-longitude=""-83.855023"">
        <div class=""store-details__main-distance""></div>
        <a class=""store-details__main-directions"" href=""javascript:void(0);"" target=""_blank""></a>
    </div>",(762) 220-3014
"<img class=""store-details__map-image"" src=""https://maps.googleapis.com/maps/api/staticmap?center=Dollar+General%2C1941+Auburn+Rd%2CDacula+GA+30019-1156&amp;zoom=15&amp;size=730x600&amp;markers=icon%3Ahttps%3A%2F%2Fwww.dollargeneral.com%2Fetc.clientlibs%2Fdollargeneral%2Fclientlibs%2Fclientlib-site%2Fresources%2Fimages%2Fstatic-map-pin.png%7C34.04994%2C-83.92842&amp;key=AIzaSyDi0nb6nKeHaDJWFtAvbAIPKBrUuAc_mTY&amp;signature=8ZpJ6iBDaZA7mZ2yqlPeZYQoH_o="" alt=""Google map showing the dropped pin on Dollar General,1941 Auburn Rd,Dacula GA 30019-1156"">",1941 Auburn Rd,"Dacula, GA 30019-1156","<div class=""store-details__main-travel"" data-latitude=""34.04994"" data-longitude=""-83.92842"">
        <div class=""store-details__main-distance""></div>
        <a class=""store-details__main-directions"" href=""javascript:void(0);"" target=""_blank""></a>
    </div>",(470) 289-0639
"<img class=""store-details__map-image"" src=""https://maps.googleapis.com/maps/api/staticmap?center=Dollar+General%2C3165+Morrison+Moore+Pkwy+E%2CDahlonega+GA+30533&amp;zoom=15&amp;size=730x600&amp;markers=icon%3Ahttps%3A%2F%2Fwww.dollargeneral.com%2Fetc.clientlibs%2Fdollargeneral%2Fclientlibs%2Fclientlib-site%2Fresources%2Fimages%2Fstatic-map-pin.png%7C34.5699%2C-83.9688&amp;key=AIzaSyDi0nb6nKeHaDJWFtAvbAIPKBrUuAc_mTY&amp;signature=FEeRWjBcMMSPUkqSuloBg71sRkw="" alt=""Google map showing the dropped pin on Dollar General,3165 Morrison Moore Pkwy E,Dahlonega GA 30533"">",3165 Morrison Moore Pkwy E,"Dahlonega, GA 30533","<div class=""store-details__main-travel"" data-latitude=""34.5699"" data-longitude=""-83.9688"" style=""display: none;"">
        <div class=""store-details__main-distance""></div>
        <a class=""store-details__main-directions"" href=""javascript:void(0);"" target=""_blank""></a>
    </div>",(678) 845-8025
"<img class=""store-details__map-image"" src=""https://maps.googleapis.com/maps/api/staticmap?center=Dollar+General%2C12+Siloam+Church+Rd%2CDahlonega+GA+30533-4393&amp;zoom=15&amp;size=730x600&amp;markers=icon%3Ahttps%3A%2F%2Fwww.dollargeneral.com%2Fetc.clientlibs%2Fdollargeneral%2Fclientlibs%2Fclientlib-site%2Fresources%2Fimages%2Fstatic-map-pin.png%7C34.52379%2C-84.03744&amp;key=AIzaSyDi0nb6nKeHaDJWFtAvbAIPKBrUuAc_mTY&amp;signature=PG-gfTVeq3ODx1CNr0SkyY0kTdo="" alt=""Google map showing the dropped pin on Dollar General,12 Siloam Church Rd,Dahlonega GA 30533-4393"">",12 Siloam Church Rd,"Dahlonega, GA 30533-4393","<div class=""store-details__main-travel"" data-latitude=""34.52379"" data-longitude=""-84.03744"">
        <div class=""store-details__main-distance""></div>
        <a class=""store-details__main-directions"" href=""javascript:void(0);"" target=""_blank""></a>
    </div>",(478) 200-7668
"<img class=""store-details__map-image"" src=""https://maps.googleapis.com/maps/api/staticmap?center=Dollar+General%2C473+Morrison+Moore+Pkwy+E%2CDahlonega+GA+30533-1423&amp;zoom=15&amp;size=730x600&amp;markers=icon%3Ahttps%3A%2F%2Fwww.dollargeneral.com%2Fetc.clientlibs%2Fdollargeneral%2Fclientlibs%2Fclientlib-site%2Fresources%2Fimages%2Fstatic-map-pin.png%7C34.532%2C-83.9778&amp;key=AIzaSyDi0nb6nKeHaDJWFtAvbAIPKBrUuAc_mTY&amp;signature=co11gy0HHsC_uWkXy8kou6kepzU="" alt=""Google map showing the dropped pin on Dollar General,473 Morrison Moore Pkwy E,Dahlonega GA 30533-1423"">",473 Morrison Moore Pkwy E,"Dahlonega, GA 30533-1423","<div class=""store-details__main-travel"" data-latitude=""34.532"" data-longitude=""-83.9778"">
        <div class=""store-details__main-distance""></div>
        <a class=""store-details__main-directions"" href=""javascript:void(0);"" target=""_blank""></a>
    </div>",(470) 354-3322
"<img class=""store-details__map-image"" src=""https://maps.googleapis.com/maps/api/staticmap?center=Dollar+General%2C5019+South+Chestatee+St%2CDahlonega+GA+30533-6368&amp;zoom=15&amp;size=730x600&amp;markers=icon%3Ahttps%3A%2F%2Fwww.dollargeneral.com%2Fetc.clientlibs%2Fdollargeneral%2Fclientlibs%2Fclientlib-site%2Fresources%2Fimages%2Fstatic-map-pin.png%7C34.471563%2C-83.975166&amp;key=AIzaSyDi0nb6nKeHaDJWFtAvbAIPKBrUuAc_mTY&amp;signature=xRt5g3dl9EAYZKeq86ULSxsf4J8="" alt=""Google map showing the dropped pin on Dollar General,5019 South Chestatee St,Dahlonega GA 30533-6368"">",5019 South Chestatee St,"Dahlonega, GA 30533-6368","<div class=""store-details__main-travel"" data-latitude=""34.471563"" data-longitude=""-83.975166"">
        <div class=""store-details__main-distance""></div>
        <a class=""store-details__main-directions"" href=""javascript:void(0);"" target=""_blank""></a>
    </div>",(470) 462-3954
"<img class=""store-details__map-image"" src=""https://maps.googleapis.com/maps/api/staticmap?center=Dollar+General%2C2425+Gold+Mine+Rd%2CDallas+GA+30157-1248&amp;zoom=15&amp;size=730x600&amp;markers=icon%3Ahttps%3A%2F%2Fwww.dollargeneral.com%2Fetc.clientlibs%2Fdollargeneral%2Fclientlibs%2Fclientlib-site%2Fresources%2Fimages%2Fstatic-map-pin.png%7C33.923368%2C-84.990747&amp;key=AIzaSyDi0nb6nKeHaDJWFtAvbAIPKBrUuAc_mTY&amp;signature=6eOnK-H3YIIXzoKQTAYYn-AluSk="" alt=""Google map showing the dropped pin on Dollar General,2425 Gold Mine Rd,Dallas GA 30157-1248"">",2425 Gold Mine Rd,"Dallas, GA 30157-1248","<div class=""store-details__main-travel"" data-latitude=""33.923368"" data-longitude=""-84.990747"">
        <div class=""store-details__main-distance""></div>
        <a class=""store-details__main-directions"" href=""javascript:void(0);"" target=""_blank""></a>
    </div>",(470) 632-4220
"<img class=""store-details__map-image"" src=""https://maps.googleapis.com/maps/api/staticmap?center=Dollar+General%2C24+Williams+Rd%2CDallas+GA+30132-1400&amp;zoom=15&amp;size=730x600&amp;markers=icon%3Ahttps%3A%2F%2Fwww.dollargeneral.com%2Fetc.clientlibs%2Fdollargeneral%2Fclientlibs%2Fclientlib-site%2Fresources%2Fimages%2Fstatic-map-pin.png%7C34.043949%2C-84.836205&amp;key=AIzaSyDi0nb6nKeHaDJWFtAvbAIPKBrUuAc_mTY&amp;signature=J2sk3v7m3dLvheMOWitjxlnNAs4="" alt=""Google map showing the dropped pin on Dollar General,24 Williams Rd,Dallas GA 30132-1400"">",24 Williams Rd,"Dallas, GA 30132-1400","<div class=""store-details__main-travel"" data-latitude=""34.043949"" data-longitude=""-84.836205"">
        <div class=""store-details__main-distance""></div>
        <a class=""store-details__main-directions"" href=""javascript:void(0);"" target=""_blank""></a>
    </div>",(470) 648-1615
"<img class=""store-details__map-image"" src=""https://maps.googleapis.com/maps/api/staticmap?center=Dollar+General%2C640+W+Memorial+Dr%2CDallas+GA+30132-4123&amp;zoom=15&amp;size=730x600&amp;markers=icon%3Ahttps%3A%2F%2Fwww.dollargeneral.com%2Fetc.clientlibs%2Fdollargeneral%2Fclientlibs%2Fclientlib-site%2Fresources%2Fimages%2Fstatic-map-pin.png%7C33.9202%2C-84.8534&amp;key=AIzaSyDi0nb6nKeHaDJWFtAvbAIPKBrUuAc_mTY&amp;signature=w1olzvUABqJUIy-2e36nbWYp-k0="" alt=""Google map showing the dropped pin on Dollar General,640 W Memorial Dr,Dallas GA 30132-4123"">",640 W Memorial Dr,"Dallas, GA 30132-4123","<div class=""store-details__main-travel"" data-latitude=""33.9202"" data-longitude=""-84.8534"">
        <div class=""store-details__main-distance""></div>
        <a class=""store-details__main-directions"" href=""javascript:void(0);"" target=""_blank""></a>
    </div>",(470) 735-4273
"<img class=""store-details__map-image"" src=""https://maps.googleapis.com/maps/api/staticmap?center=Dollar+General%2C124+E+Paulding+Dr%2CDallas+GA+30157&amp;zoom=15&amp;size=730x600&amp;markers=icon%3Ahttps%3A%2F%2Fwww.dollargeneral.com%2Fetc.clientlibs%2Fdollargeneral%2Fclientlibs%2Fclientlib-site%2Fresources%2Fimages%2Fstatic-map-pin.png%7C33.9571%2C-84.7879&amp;key=AIzaSyDi0nb6nKeHaDJWFtAvbAIPKBrUuAc_mTY&amp;signature=Va_AlK9ock0MDLDz8cC7OJfIVRU="" alt=""Google map showing the dropped pin on Dollar General,124 E Paulding Dr,Dallas GA 30157"">",124 E Paulding Dr,"Dallas, GA 30157","<div class=""store-details__main-travel"" data-latitude=""33.9571"" data-longitude=""-84.7879"">
        <div class=""store-details__main-distance""></div>
        <a class=""store-details__main-directions"" href=""javascript:void(0);"" target=""_blank""></a>
    </div>",(470) 632-4025
"<img class=""store-details__map-image"" src=""https://maps.googleapis.com/maps/api/staticmap?center=Dollar+General%2C1293+Merchants+Dr%2CDallas+GA+30132-5036&amp;zoom=15&amp;size=730x600&amp;markers=icon%3Ahttps%3A%2F%2Fwww.dollargeneral.com%2Fetc.clientlibs%2Fdollargeneral%2Fclientlibs%2Fclientlib-site%2Fresources%2Fimages%2Fstatic-map-pin.png%7C33.911275%2C-84.797577&amp;key=AIzaSyDi0nb6nKeHaDJWFtAvbAIPKBrUuAc_mTY&amp;signature=CD5N6vhcOGRVZ35QagxAhHrJN0A="" alt=""Google map showing the dropped pin on Dollar General,1293 Merchants Dr,Dallas GA 30132-5036"">",1293 Merchants Dr,"Dallas, GA 30132-5036","<div class=""store-details__main-travel"" data-latitude=""33.911275"" data-longitude=""-84.797577"">
        <div class=""store-details__main-distance""></div>
        <a class=""store-details__main-directions"" href=""javascript:void(0);"" target=""_blank""></a>
    </div>",(470) 632-4475
"<img class=""store-details__map-image"" src=""https://maps.googleapis.com/maps/api/staticmap?center=Dollar+General%2C3188+Villa+Rica+Hwy%2CDallas+GA+30157&amp;zoom=15&amp;size=730x600&amp;markers=icon%3Ahttps%3A%2F%2Fwww.dollargeneral.com%2Fetc.clientlibs%2Fdollargeneral%2Fclientlibs%2Fclientlib-site%2Fresources%2Fimages%2Fstatic-map-pin.png%7C33.8664%2C-84.8431&amp;key=AIzaSyDi0nb6nKeHaDJWFtAvbAIPKBrUuAc_mTY&amp;signature=MPFKFfXWU4-QUzK0s1Ov3YIPMDg="" alt=""Google map showing the dropped pin on Dollar General,3188 Villa Rica Hwy,Dallas GA 30157"">",3188 Villa Rica Hwy,"Dallas, GA 30157","<div class=""store-details__main-travel"" data-latitude=""33.8664"" data-longitude=""-84.8431"" style=""display: none;"">
        <div class=""store-details__main-distance""></div>
        <a class=""store-details__main-directions"" href=""javascript:void(0);"" target=""_blank""></a>
    </div>",(470) 632-4230
"<img class=""store-details__map-image"" src=""https://maps.googleapis.com/maps/api/staticmap?center=Dollar+General%2C3417+Airport+Road%2CDalton+GA+30721-6102&amp;zoom=15&amp;size=730x600&amp;markers=icon%3Ahttps%3A%2F%2Fwww.dollargeneral.com%2Fetc.clientlibs%2Fdollargeneral%2Fclientlibs%2Fclientlib-site%2Fresources%2Fimages%2Fstatic-map-pin.png%7C34.756%2C-84.918&amp;key=AIzaSyDi0nb6nKeHaDJWFtAvbAIPKBrUuAc_mTY&amp;signature=Jy6RaeumRTExraIFOhvkUEmqvIk="" alt=""Google map showing the dropped pin on Dollar General,3417 Airport Road,Dalton GA 30721-6102"">",3417 Airport Road,"Dalton, GA 30721-6102","<div class=""store-details__main-travel"" data-latitude=""34.756"" data-longitude=""-84.918"">
        <div class=""store-details__main-distance""></div>
        <a class=""store-details__main-directions"" href=""javascript:void(0);"" target=""_blank""></a>
    </div>",(706) 503-4958
"<img class=""store-details__map-image"" src=""https://maps.googleapis.com/maps/api/staticmap?center=Dollar+General%2C1288+Beaverdale+Rd+Ne%2CDalton+GA+30721&amp;zoom=15&amp;size=730x600&amp;markers=icon%3Ahttps%3A%2F%2Fwww.dollargeneral.com%2Fetc.clientlibs%2Fdollargeneral%2Fclientlibs%2Fclientlib-site%2Fresources%2Fimages%2Fstatic-map-pin.png%7C34.8681%2C-84.8888&amp;key=AIzaSyDi0nb6nKeHaDJWFtAvbAIPKBrUuAc_mTY&amp;signature=oHd16zZmMFLgkjfk2kAzdJRNXcQ="" alt=""Google map showing the dropped pin on Dollar General,1288 Beaverdale Rd Ne,Dalton GA 30721"">",1288 Beaverdale Rd Ne,"Dalton, GA 30721","<div class=""store-details__main-travel"" data-latitude=""34.8681"" data-longitude=""-84.8888"">
        <div class=""store-details__main-distance""></div>
        <a class=""store-details__main-directions"" href=""javascript:void(0);"" target=""_blank""></a>
    </div>",(706) 508-4995
